animal_type,weight_kg,height_cm,age_years,number_of_friends,birth_date,birth_unix,color,can_fly,can_swim,can_run,watches_youtube,daily_food_grams,popularity_score,social_media
fish,18.33740197583593,71.8861151897751,19,2,2006-12-18,1166400000,blue,False,False,True,True,93.58529133780422,9.828622390112221,Watched 'Finding Nemo' for the 100th time. Still upset about the inaccurate portrayal of marine life. 🎬
fish,18.268234881700817,77.39482879036812,19,2,2006-01-01,1136073600,blue,True,False,False,True,112.61919677630706,8.78365096787747,New filter day. Not sure if improvement or disruption to my routine.
fish,14.505765870108297,79.97326540915628,17,1,2008-02-21,1203552000,red,True,False,False,True,93.59388949220609,8.47942745670087,Watched 'Finding Nemo' for the 100th time. Still upset about the inaccurate portrayal of marine life. 🎬
cat,5.75774377137855,92.48134495384336,6,6,2019-12-13,1576195200,red,True,True,True,False,90.40637090835392,6.171741457928639,"Watched them clean up my fur from the couch. Entertaining show, 4/10."
turtle,54.24885303393475,32.96094295940061,9,1,2016-02-04,1454544000,mixed,False,False,True,True,58.19028072167688,4.8047882834445295,Planning my next move. ETA: Next Thursday.
bird,18.69515848163178,76.2987062266987,11,5,2014-01-04,1388793600,red,True,True,True,True,80.77409245012453,10.0,"Singing since 5am. The neighborhood loves me, I'm sure of it."
bird,36.11710009296814,53.40094268729502,9,7,2016-12-15,1481760000,gray,False,True,True,False,85.262634015034,6.712606907599131,Performed my song on a stage of branches this morning. The audience went wild! 🎭
fish,16.726956317332927,81.77655401805163,12,2,2013-01-24,1358985600,red,False,False,True,True,91.36132653262317,8.755958271638661,Three laps around the castle. New personal record.
turtle,46.240066183995786,50.0237628871699,5,1,2020-12-18,1608249600,mixed,False,False,True,False,71.40347628362083,7.278656871254328,Planning my next move. ETA: Next Thursday.
dog,15.561689337085493,81.53530018846267,2,9,2023-01-14,1673654400,blue,True,True,True,False,81.98840709734074,8.597230513331345,Got to lick a plate clean after dinner! SO AMAZING! BLESSED!
bird,42.81535895430264,58.66313083772319,12,7,2013-01-17,1358380800,gray,False,True,True,False,78.2935808540148,9.362825393947704,My singing was featured in the background of that new nature film. #MovieStar
turtle,35.534025484302774,57.7518961299176,9,1,2016-02-18,1455753600,mixed,False,False,True,True,75.20164206214783,9.714401269486483,Humans always rushing in movies. What's the hurry? Life is long.
turtle,37.21003064170225,59.37823691356873,8,3,2017-02-11,1486771200,mixed,True,False,True,False,89.40878667636554,8.221528913319096,Made it across the room today. #SpeedDemon
dog,6.847028880708892,87.98483261195086,5,9,2020-12-13,1607817600,green,True,False,False,False,93.78690956752459,8.570485406805087,MY HUMAN IS HOME! I LOVE WHEN MY HUMAN IS HOME!
fish,27.93112266105042,65.90715560641326,19,2,2006-12-16,1166227200,blue,False,False,False,True,76.91645658817731,9.52160359256074,"Same bowl, different day. #AquariumLife"
dog,8.178373391221408,88.63395535171088,1,11,2024-01-15,1705276800,green,False,False,True,False,97.8992835342797,8.774209544065252,"SQUIRREL! Oh wait, false alarm. #AlwaysOnGuard"
cat,2.051678104420168,91.42471462011851,2,4,2023-02-11,1676073600,red,False,False,False,False,96.5470616152504,8.841046762816307,My humans watched a film about cats last night. Complete propaganda.
fish,26.162232744845838,64.76314416113092,14,6,2011-01-11,1294704000,blue,False,False,False,False,69.75694787043018,10.0,The lighting in this tank is terrible for my complexion. #FilterNeeded
turtle,55.93940675255393,34.65949009268264,4,1,2021-01-25,1611532800,mixed,False,False,True,True,61.03204173946935,6.3624401768615515,Made it across the room today. #SpeedDemon
dog,16.752814925592585,86.31617367772607,3,7,2022-12-27,1672099200,blue,True,False,False,False,101.37514910817382,8.54059923394836,That movie about dogs on an adventure was so inspiring! 🎞️ #DoggoFilmCritic
cat,6.183862808796436,95.3869142990436,2,4,2023-01-23,1674432000,red,True,False,True,False,81.88038704515392,6.86811686925043,Another day of being misunderstood by my human staff. They'll learn eventually.
dog,9.904351318721867,89.79589067977078,1,11,2024-01-27,1706313600,green,False,True,True,False,79.0246560914704,9.04551432782972,That movie about dogs on an adventure was so inspiring! 🎞️ #DoggoFilmCritic
bird,32.021608071598465,57.284968930301375,9,7,2016-02-04,1454544000,gray,True,True,True,True,84.52164956066443,7.423813034955385,Flying scenes in movies never get the aerodynamics right. #BadPhysics
turtle,45.4700534072471,47.86351024674773,9,1,2016-01-26,1453766400,blue,True,False,False,True,87.43059577853461,6.614721946226201,Watched the same leaf float by. Twice. Exciting day.
turtle,63.05495866375303,21.1714533167788,4,1,2021-01-25,1611532800,mixed,True,False,True,True,42.37263048094119,4.039903096205194,Planned my route to the food bowl. Execution scheduled for tomorrow.
fish,26.79137867598095,61.988703803639154,14,6,2011-01-26,1296000000,blue,False,False,False,True,71.47841156911527,9.457387367520464,Watched the humans watching that ocean movie. So many inaccuracies.
cat,1.8341585201576813,93.30314500507768,8,6,2017-12-15,1513296000,red,False,True,False,False,109.76242308471133,6.141399004974574,My humans watched a film about cats last night. Complete propaganda.
cat,6.885054254915284,91.13766229952908,3,2,2022-02-10,1644451200,red,False,True,True,False,108.78103149535005,8.883098236501795,"Watched them clean up my fur from the couch. Entertaining show, 4/10."
dog,6.786793786777446,89.15604222804704,1,11,2024-12-13,1734048000,green,True,False,True,False,104.78992463254873,7.903644471701235,MY HUMAN IS HOME! I LOVE WHEN MY HUMAN IS HOME!
bird,49.30988908371394,42.26604262727136,14,11,2011-12-22,1324512000,gray,True,True,True,False,44.137520156904316,6.838459841094514,Flying scenes in movies never get the aerodynamics right. #BadPhysics
bird,42.13634468763836,47.54746834092348,15,9,2010-02-16,1266278400,gray,True,True,True,True,60.94994652501629,6.2593908416922215,Movie night under the stars! That flying sequence was technically inaccurate. 🎞️
bird,20.895783458492463,76.31430314580122,10,5,2015-12-08,1449532800,gray,True,True,True,False,74.66725400760814,9.85325400534255,That scene in the film where the bird speaks? Completely unrealistic dialogue. #BadWriting
turtle,52.38998748482086,35.57667486248718,5,1,2020-01-21,1579564800,mixed,False,False,False,True,61.39431620687137,4.553991791822723,Contemplated the meaning of life for six hours. Made significant progress.
fish,24.965431913663398,69.7991845317487,15,4,2010-12-11,1292025600,blue,True,False,True,True,69.94176037962241,10.0,The lighting in this tank is terrible for my complexion. #FilterNeeded
fish,16.881536934199506,74.83751420704698,11,1,2014-12-26,1419552000,blue,True,False,False,True,91.55920425766452,8.566552785551538,Three laps around the castle. New personal record.
dog,5.900971120482275,100.09497619807883,2,9,2023-01-02,1672617600,mixed,False,False,True,False,95.75092878836003,7.650704109421597,That movie about dogs on an adventure was so inspiring! 🎞️ #DoggoFilmCritic
dog,10.305358984607949,79.48062419365004,1,11,2024-01-11,1704931200,green,True,False,True,False,90.90366495498971,9.41574556778503,MY HUMAN IS HOME! I LOVE WHEN MY HUMAN IS HOME!
dog,9.521907740214175,101.02098926017959,5,9,2020-12-26,1608940800,green,False,False,False,False,112.25865564974994,7.979638778404593,My human came home today! Best. Day. Ever! Same as yesterday! #Loyalty
bird,22.68575532794344,75.14621819842696,11,5,2014-12-09,1418083200,gray,False,True,True,False,66.98483338438857,8.510413393505184,My singing was featured in the background of that new nature film. #MovieStar
dog,13.7082760336536,75.73661612303073,4,7,2021-01-21,1611187200,green,False,False,False,False,71.1666674887068,10.0,MY HUMAN IS HOME! I LOVE WHEN MY HUMAN IS HOME!
turtle,37.11045457512732,55.96227870507059,7,5,2018-02-15,1518652800,mixed,False,False,False,True,74.44594256911168,7.867253865538771,Made it across the room today. #SpeedDemon
turtle,48.92135001507054,42.406251563972994,4,1,2021-01-20,1611100800,mixed,False,False,True,True,49.980751606195355,8.082456433035258,Taking a nap on my favorite rock. Living my best life. #TurtleJoy
cat,5.363652575160517,101.02673379420214,4,2,2021-02-13,1613174400,gray,True,True,True,True,94.67616858438375,6.263843954432909,Spent all day judging everyone. It was exhausting being this superior.
fish,21.544861997574156,67.40181600214595,11,1,2014-01-15,1389744000,red,False,False,True,True,73.69028545340657,10.0,New filter day. Not sure if improvement or disruption to my routine.
fish,25.653366053319445,62.47757337482946,19,2,2006-01-24,1138060800,blue,False,False,False,False,71.60073807170808,8.369203887029865,My memory isn't actually that bad. I just pretend so the humans don't suspect anything.
fish,18.799818419996715,79.16431470296544,16,2,2009-02-18,1234915200,blue,True,False,False,True,88.03641510042023,9.408115363182116,Watched 'Finding Nemo' for the 100th time. Still upset about the inaccurate portrayal of marine life. 🎬
fish,6.982884207143059,92.58702357867433,14,6,2011-02-23,1298419200,red,True,False,True,True,92.77986606943567,6.183410515436481,Bubbles are overrated. I'm just saying what everyone's thinking.
turtle,46.13222777130387,51.97755195545917,10,1,2015-02-19,1424304000,mixed,True,False,True,True,62.99820452011684,8.051189068690865,Moved three inches to the left. That's enough productivity for today.
cat,6.451326533311292,87.26760224977696,7,8,2018-12-06,1544054400,red,True,True,True,False,97.00231796839783,10.0,"Watched them clean up my fur from the couch. Entertaining show, 4/10."
fish,19.279247039895505,71.46396029448162,19,2,2006-02-18,1140220800,blue,False,False,True,True,71.37806913706635,8.930907331417018,The lighting in this tank is terrible for my complexion. #FilterNeeded
dog,9.589752868488167,97.8431668522349,5,9,2020-01-19,1579392000,green,False,False,False,False,86.40011560520428,9.179864537451252,Someone dropped food and I GOT THERE FIRST! WINNING AT LIFE!
dog,11.578639964727955,85.87779721364993,1,11,2024-01-26,1706227200,green,False,True,True,False,104.94964286234075,7.371176203443547,Made a new friend at the park today! BEST DAY EVER!!!
bird,35.26434688584324,53.955499033319484,11,5,2014-01-12,1389484800,gray,True,True,True,True,57.27143203595669,7.511363021376519,My singing was featured in the background of that new nature film. #MovieStar
dog,4.640839564533935,97.95968751979095,5,9,2020-12-12,1607731200,green,True,False,False,False,90.12814647784055,6.215766240835237,MY HUMAN IS HOME! I LOVE WHEN MY HUMAN IS HOME!
cat,4.962631738250656,83.79069615008662,6,6,2019-02-11,1549843200,red,False,True,True,False,100.83537363633049,7.806354723139445,My human thinks I can't open the food cabinet. They're so naive. #MissionImpossible
fish,19.023928894190885,79.06271597742439,11,1,2014-02-12,1392163200,blue,False,False,True,True,81.41610449461109,8.672813079144074,Bubbles are overrated. I'm just saying what everyone's thinking.
turtle,50.75119376061753,35.93884544787882,4,1,2021-12-23,1640217600,green,True,False,False,True,61.19756798878535,5.0398985269544045,Made it across the room today. #SpeedDemon
bird,14.241950590455644,80.39909279883265,11,5,2014-02-01,1391212800,gray,True,True,True,False,97.13781580479127,9.625795792380774,Flying scenes in movies never get the aerodynamics right. #BadPhysics
cat,7.646170505621712,97.30143983920898,2,4,2023-01-07,1673049600,red,True,True,False,False,113.9552827106384,9.93155002976592,Spent all day judging everyone. It was exhausting being this superior.
fish,20.033619160664244,78.1055595693712,13,4,2012-02-23,1329955200,blue,False,True,True,True,83.59358778130022,9.625465347338737,Three laps around the castle. New personal record.
bird,33.399938720371516,54.28131664803227,10,5,2015-12-25,1451001600,gray,True,True,True,False,75.76131870374584,7.905903360835607,Just watched an old classic film with that talking parrot. Such stereotyping! 🎬
dog,15.297952642023509,81.899789167493,1,11,2024-12-16,1734307200,green,True,False,True,False,94.60551248790206,10.0,Just rolled in something AMAZING smelling! SO HAPPY RIGHT NOW!
turtle,54.34652797400501,35.36917044685061,6,3,2019-02-12,1549929600,mixed,True,False,True,True,50.69067401707329,5.453680949091158,Planned my route to the food bowl. Execution scheduled for tomorrow.
fish,12.300465485172705,83.92879222683231,12,2,2013-12-21,1387584000,blue,True,False,True,True,78.0478637072123,9.482658498507728,My memory isn't actually that bad. I just pretend so the humans don't suspect anything.
fish,19.56778164524269,71.71730790264749,16,2,2009-02-11,1234310400,mixed,False,False,True,True,92.84463825839353,9.488917240696086,The other fish don't appreciate my scales in this lighting.
bird,35.39910474331863,58.65505090790154,15,9,2010-02-24,1266969600,gray,False,True,True,False,68.15362554962529,8.557420572075285,My singing was featured in the background of that new nature film. #MovieStar
bird,30.45302971085259,66.96037700020801,10,5,2015-01-12,1421020800,gray,False,True,True,False,78.72498256487927,9.580892867398305,Found the perfect branch today. #HomeImprovement
dog,15.120464411063471,84.12407885087866,1,11,2024-02-03,1706918400,mixed,True,False,True,False,84.59379629312046,9.591229084335298,My human came home today! Best. Day. Ever! Same as yesterday! #Loyalty
cat,3.2880756825485378,92.4901458589164,7,8,2018-02-01,1517443200,red,True,True,True,False,100.62429536286781,6.754670796257177,Humans think these 'cat movies' represent us accurately. How disappointing.
bird,39.960980175901256,51.25801052291302,15,9,2010-01-13,1263340800,mixed,False,True,True,False,60.35490779921921,7.737665610441317,Found the perfect branch today. #HomeImprovement
cat,6.6781349779197114,80.94566358673714,6,6,2019-01-02,1546387200,blue,True,True,False,False,96.04506900252986,10.0,My human thinks I can't open the food cabinet. They're so naive. #MissionImpossible
dog,10.266300057563365,95.67216746647378,4,7,2021-02-21,1613865600,green,False,False,False,False,86.39750452905227,8.901699003048156,Someone dropped food and I GOT THERE FIRST! WINNING AT LIFE!
dog,10.993987756182422,83.79908462659716,1,11,2024-01-10,1704844800,green,True,False,True,False,99.5421188529883,8.902462176996693,My human came home today! Best. Day. Ever! Same as yesterday! #Loyalty
bird,22.17849169557924,70.78492522978871,11,5,2014-12-12,1418342400,gray,False,True,True,False,99.53532561118949,10.0,Found the perfect branch today. #HomeImprovement
cat,4.385486929862212,88.16487975114067,5,4,2020-02-25,1582588800,mixed,True,True,False,False,103.31707254233254,5.895413238925366,That movie with the orange cat was completely unrealistic. We're much more cunning.
dog,11.731352516914429,90.22693439476701,4,7,2021-12-16,1639612800,green,True,False,False,False,99.50087103817287,9.413963691227167,Got to lick a plate clean after dinner! SO AMAZING! BLESSED!
dog,9.55264857035466,93.67720029334484,1,11,2024-02-20,1708387200,green,True,False,True,False,89.23435028529663,7.2256234097580965,"SQUIRREL! Oh wait, false alarm. #AlwaysOnGuard"
fish,20.30119354639367,72.79002388660247,19,2,2006-01-23,1137974400,blue,True,False,True,False,89.27196221589391,9.445166783748737,New filter day. Not sure if improvement or disruption to my routine.
fish,24.96221648329143,64.35619518505632,14,6,2011-01-10,1294617600,blue,True,False,False,True,99.48397356609011,10.0,Humans tapping on the glass again. Very original.
bird,14.742049730193004,82.41185255919062,12,7,2013-01-23,1358899200,gray,True,True,True,False,83.49019133828897,10.0,Theater critics loved my dawn performance. Five star reviews! 🎭
fish,21.846923970166667,72.13694437827033,19,2,2006-02-17,1140134400,green,False,False,False,True,73.85909691099278,9.968403574999545,The lighting in this tank is terrible for my complexion. #FilterNeeded
dog,15.329615543300283,85.32602956850485,4,7,2021-12-18,1639785600,green,True,False,False,False,86.64147432592962,10.0,My human came home today! Best. Day. Ever! Same as yesterday! #Loyalty
bird,26.98506680432201,66.96147725448287,9,7,2016-02-08,1454889600,gray,False,True,True,False,63.38697684627918,10.0,Performed my song on a stage of branches this morning. The audience went wild! 🎭
fish,13.77860488367648,82.45306620445722,12,2,2013-12-04,1386115200,red,True,False,False,True,85.52129188750783,6.551945036757757,Humans tapping on the glass again. Very original.
bird,26.88725317631797,71.08751625220623,10,5,2015-01-08,1420675200,gray,False,True,True,False,75.92186098712752,10.0,Just watched an old classic film with that talking parrot. Such stereotyping! 🎬
cat,1.965834651268112,89.7610387874007,2,4,2023-12-24,1703376000,red,True,False,False,False,91.04740777978235,8.257897814276927,Just knocked over a vase. No regrets. #CatLife
turtle,52.25685072739971,35.73543481159509,4,1,2021-02-23,1614038400,mixed,True,False,True,True,58.24927335066612,4.5786055507332435,Planned my route to the food bowl. Execution scheduled for tomorrow.
turtle,49.26305968044813,41.84519844049162,6,3,2019-02-02,1549065600,mixed,True,False,False,True,61.003207025372745,6.423675533932737,Contemplated the meaning of life for six hours. Made significant progress.
turtle,53.18731852102963,34.03626441220709,9,1,2016-01-22,1453420800,mixed,False,False,False,True,70.22836017575945,5.291243661850866,Contemplated the meaning of life for six hours. Made significant progress.
fish,19.343821953267284,78.19104446695282,15,4,2010-02-01,1264982400,gray,True,False,True,True,90.89316997348323,8.540625803134752,Bubbles are overrated. I'm just saying what everyone's thinking.
fish,20.979475589218342,75.93264844962675,19,2,2006-12-14,1166054400,green,True,False,True,True,82.23288948949872,9.073085188698375,"Same bowl, different day. #AquariumLife"
cat,5.90096784950304,97.31433860811991,8,6,2017-12-21,1513814400,red,True,True,False,False,89.39279242147026,5.561544497172729,My humans watched a film about cats last night. Complete propaganda.
cat,2.604704963633134,95.5025894087661,7,8,2018-01-04,1515024000,red,False,True,False,False,91.88429434427368,8.317031431092294,Spent all day judging everyone. It was exhausting being this superior.
bird,32.76868014971642,50.51401195719974,15,9,2010-01-26,1264464000,gray,True,True,True,False,70.48647847739554,8.924481093249444,"Singing since 5am. The neighborhood loves me, I'm sure of it."
turtle,64.48207072195507,14.883539086943054,4,1,2021-12-18,1639785600,mixed,False,False,False,True,69.719289730822,2.402681457974222,Contemplated the meaning of life for six hours. Made significant progress.
fish,15.191388610544346,84.0881752169374,16,2,2009-12-14,1260748800,blue,True,False,True,True,87.52530310244533,8.822116399608888,New filter day. Not sure if improvement or disruption to my routine.
turtle,53.08326482739562,37.20721405638295,5,1,2020-02-05,1580860800,mixed,False,False,False,False,69.95753338988769,4.867977766504566,Moved three inches to the left. That's enough productivity for today.
dog,13.88409654291386,82.20974132771296,1,11,2024-12-01,1733011200,green,False,False,True,False,72.68237088639455,9.505378452449586,Just rolled in something AMAZING smelling! SO HAPPY RIGHT NOW!
cat,2.6899094289894605,96.00564435236932,6,6,2019-02-03,1549152000,red,True,True,False,False,116.44581442048447,6.595670013341564,That movie with the orange cat was completely unrealistic. We're much more cunning.
dog,12.39356390362609,81.8875389910069,2,9,2023-02-27,1677456000,green,True,True,True,True,79.39474803051522,8.659430596319122,Made a new friend at the park today! BEST DAY EVER!!!
cat,4.555951718096318,91.30998717275604,4,2,2021-02-27,1614384000,red,False,True,True,False,116.99691069915698,8.871751207435077,Another day of being misunderstood by my human staff. They'll learn eventually.
cat,7.022675910963364,88.83755669725336,4,2,2021-02-16,1613433600,red,True,True,False,False,95.06664795589515,7.958213775355281,Humans think these 'cat movies' represent us accurately. How disappointing.
turtle,41.75542797908819,48.49727904788566,9,1,2016-01-23,1453507200,mixed,True,False,False,True,73.98148425200921,5.890337722727626,Moved three inches to the left. That's enough productivity for today.
fish,19.9547239630887,76.66445426625087,18,1,2007-02-04,1170547200,blue,True,False,False,True,92.00732551614142,8.168279095347714,Three laps around the castle. New personal record.
dog,5.444532858615529,93.08352975801938,2,9,2023-02-23,1677110400,green,False,False,True,False,103.1117760630706,8.234025032262668,Walk? Did someone say WALK? I'm ready! Let's GOOOO!
dog,11.311866733512298,84.78824203969987,4,7,2021-02-14,1613260800,mixed,True,True,False,False,97.48162990320156,8.47577451860614,Someone dropped food and I GOT THERE FIRST! WINNING AT LIFE!
